label	Dissection: Angular gyrus (AnG)	Dissection: Anterior cingulate cortex (ACC)	Dissection: Dorsolateral prefrontal cortex (DFC)	Dissection: Primary auditory cortex(A1)	Dissection: Primary somatosensory cortex (S1)	Dissection: Primary visual cortex(V1)	Human Multiple Cortical Areas SMART-seq	Single-nucleus transcriptome data from the dlPFC	Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD)	Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD)	aggregated
Astrocyte	100.0	100.0	10.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
B Cell	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	53.0
Chandelier	100.0	100.0	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0
Endothelial	97.0	100.0	3.0	94.0	100.0	100.0	70.0	100.0	100.0	100.0	100.0
Erythroid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	100.0
L2/3-6 IT	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
L5 ET	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
L5/6 NP	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
L6 CT	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
L6b	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
LAMP5	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
Macrophage	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	100.0
Microglia	100.0	100.0	8.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
Myeloid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	81.0
OPC	100.0	100.0	3.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
Oligodendrocyte	100.0	100.0	13.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
PAX6	100.0	100.0	66.0	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0
PVALB	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
Pericyte	0.0	0.0	0.0	0.0	0.0	0.0	32.0	100.0	0.0	0.0	100.0
SMC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	100.0
SNCG	100.0	100.0	50.0	100.0	100.0	100.0	0.0	0.0	100.0	100.0	100.0
SST	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
T Cell	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	100.0
VIP	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
VLMC	89.0	100.0	3.0	86.0	100.0	92.0	11.0	100.0	100.0	100.0	100.0
