soma_joinid	citation	collection_id	collection_name	collection_doi	dataset_id	dataset_version_id	dataset_title	dataset_h5ad_path	dataset_total_cell_count
0	Publication: https://doi.org/10.1002/hep4.1854 Dataset Version: https://datasets.cellxgene.cziscience.com/fb76c95f-0391-4fac-9fb9-082ce2430b59.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/44531dd9-1388-4416-a117-af0a99de2294	44531dd9-1388-4416-a117-af0a99de2294	Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity	10.1002/hep4.1854	0895c838-e550-48a3-a777-dbcd35d30272	fb76c95f-0391-4fac-9fb9-082ce2430b59	Healthy human liver: B cells	0895c838-e550-48a3-a777-dbcd35d30272.h5ad	146
1	Publication: https://doi.org/10.1126/sciimmunol.abe6291 Dataset Version: https://datasets.cellxgene.cziscience.com/b6737a5e-9069-4dd6-9a57-92e17a746df9.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/3a2af25b-2338-4266-aad3-aa8d07473f50	3a2af25b-2338-4266-aad3-aa8d07473f50	Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics	10.1126/sciimmunol.abe6291	00ff600e-6e2e-4d76-846f-0eec4f0ae417	b6737a5e-9069-4dd6-9a57-92e17a746df9	Human tonsil nonlymphoid cells scRNA	00ff600e-6e2e-4d76-846f-0eec4f0ae417.h5ad	363
2	Publication: https://doi.org/10.1038/s41593-020-00764-7 Dataset Version: https://datasets.cellxgene.cziscience.com/0e02290f-b992-450b-8a19-554f73cd7f09.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6	180bff9c-c8a5-4539-b13b-ddbc00d643e6	Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease	10.1038/s41593-020-00764-7	bdacc907-7c26-419f-8808-969eab3ca2e8	0e02290f-b992-450b-8a19-554f73cd7f09	Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: SFG microglia	bdacc907-7c26-419f-8808-969eab3ca2e8.h5ad	3799
3	Publication: https://doi.org/10.1038/s41467-022-29450-x Dataset Version: https://datasets.cellxgene.cziscience.com/40832710-d7b1-43fb-b2c2-1cd2255bc3ac.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/bf325905-5e8e-42e3-933d-9a9053e9af80	bf325905-5e8e-42e3-933d-9a9053e9af80	Single-cell Atlas of common variable immunodeficiency shows germinal center-associated epigenetic dysregulation in B-cell responses	10.1038/s41467-022-29450-x	a5d95a42-0137-496f-8a60-101e17f263c8	40832710-d7b1-43fb-b2c2-1cd2255bc3ac	Steady-state B cells - scRNA-seq	a5d95a42-0137-496f-8a60-101e17f263c8.h5ad	1324
4	Publication: https://doi.org/10.1038/s41590-021-01059-0 Dataset Version: https://datasets.cellxgene.cziscience.com/eb6c070c-ff67-4c1f-8d4d-65f9fe2119ee.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/93eebe82-d8c3-41bc-a906-63b5b5f24a9d	93eebe82-d8c3-41bc-a906-63b5b5f24a9d	Single-cell proteo-genomic reference maps of the hematopoietic system enable the purification and massive profiling of precisely defined cell states	10.1038/s41590-021-01059-0	d3566d6a-a455-4a15-980f-45eb29114cab	eb6c070c-ff67-4c1f-8d4d-65f9fe2119ee	blood and bone marrow from a healthy young donor	d3566d6a-a455-4a15-980f-45eb29114cab.h5ad	15502
5	Publication: https://doi.org/10.1016/j.celrep.2019.12.082 Dataset Version: https://datasets.cellxgene.cziscience.com/650a47be-6666-4f70-ac47-8414c50bbd8e.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	939769a8-d8d2-4d01-abfc-55699893fd49	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	10.1016/j.celrep.2019.12.082	de17ac25-550a-4018-be75-bbb485a0636e	650a47be-6666-4f70-ac47-8414c50bbd8e	Myeloid cells of human eye	de17ac25-550a-4018-be75-bbb485a0636e.h5ad	395
6	Publication: https://doi.org/10.1038/s41593-020-00764-7 Dataset Version: https://datasets.cellxgene.cziscience.com/1f0cd8ed-94c6-440c-bd5b-bad55e2666b1.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6	180bff9c-c8a5-4539-b13b-ddbc00d643e6	Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease	10.1038/s41593-020-00764-7	9f1049ac-f8b7-45ad-8e31-6e96c3e5058f	1f0cd8ed-94c6-440c-bd5b-bad55e2666b1	Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: EC microglia	9f1049ac-f8b7-45ad-8e31-6e96c3e5058f.h5ad	5572
7	Publication: https://doi.org/10.1016/j.cell.2022.11.005 Dataset Version: https://datasets.cellxgene.cziscience.com/086c8f4e-3fe7-46e5-8b6b-a8cb7f92dadd.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028	2d2e2acd-dade-489f-a2da-6c11aa654028	A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates	10.1016/j.cell.2022.11.005	703f00e6-b996-48e5-bc34-00c41b9876f4	086c8f4e-3fe7-46e5-8b6b-a8cb7f92dadd	PNS	703f00e6-b996-48e5-bc34-00c41b9876f4.h5ad	649
8	Publication: https://doi.org/10.1016/j.jhep.2023.12.023 Dataset Version: https://datasets.cellxgene.cziscience.com/7e88c4aa-d95f-43e3-bc8b-cf02629d7301.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver	10.1016/j.jhep.2023.12.023	e347396c-a7ff-4691-9f7a-99a43555ca18	7e88c4aa-d95f-43e3-bc8b-cf02629d7301	Stellate cells from human healthy donor liver samples	e347396c-a7ff-4691-9f7a-99a43555ca18.h5ad	1417
9	Publication: https://doi.org/10.1002/hep4.1854 Dataset Version: https://datasets.cellxgene.cziscience.com/575dd70a-45b1-4a82-8acd-467d313e4c66.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/44531dd9-1388-4416-a117-af0a99de2294	44531dd9-1388-4416-a117-af0a99de2294	Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity	10.1002/hep4.1854	524e045e-e74c-4e00-9884-d5c3bef3d862	575dd70a-45b1-4a82-8acd-467d313e4c66	Healthy human liver: hepatic stellate cells	524e045e-e74c-4e00-9884-d5c3bef3d862.h5ad	1374
