ref	query	key	label	auc	optimal threshold
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	LAMP5	1.0	0.501882020348719
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	VIP	0.9973958333333333	0.181581650925976
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	Astrocyte	0.9929411764705883	0.467766207607131
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	Endothelial	1.0	0.447580603666654
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	Microglia	1.0	0.571395244656398
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	Oligodendrocyte	0.9979570990806945	0.649553292224802
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	OPC	0.9989785495403474	0.510805065281885
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	L2/3-6 IT	0.8697552447552448	0.0208730561377802
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	PVALB	0.9893617021276595	0.146800081264416
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	SST	1.0	0.35239710188551
