	assay	cell_type	tissue	tissue_general	suspension_type	disease	dataset_id	development_stage	soma_joinid	soma_joinidy	citation	collection_id	collection_name	collection_doi	dataset_version_id	dataset_title	dataset_h5ad_path	dataset_total_cell_count	rachel_subclass	rachel_class	rachel_family
0	10x 3' v3	lamp5 GABAergic cortical interneuron	primary somatosensory cortex	brain	nucleus	normal	93cb76aa-a84b-4a92-8e6c-66a914e26d4c	50-year-old human stage	31900926	733	Publication: https://doi.org/10.1126/science.adf6812 Dataset Version: https://datasets.cellxgene.cziscience.com/8b1e1941-cd79-48ba-81d1-43732803b9a5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	10.1126/science.adf6812	8b1e1941-cd79-48ba-81d1-43732803b9a5	Dissection: Primary somatosensory cortex (S1)	93cb76aa-a84b-4a92-8e6c-66a914e26d4c.h5ad	153159	LAMP5	CGE	GABAergic
1	10x 3' v3	lamp5 GABAergic cortical interneuron	primary somatosensory cortex	brain	nucleus	normal	93cb76aa-a84b-4a92-8e6c-66a914e26d4c	50-year-old human stage	31901635	733	Publication: https://doi.org/10.1126/science.adf6812 Dataset Version: https://datasets.cellxgene.cziscience.com/8b1e1941-cd79-48ba-81d1-43732803b9a5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	10.1126/science.adf6812	8b1e1941-cd79-48ba-81d1-43732803b9a5	Dissection: Primary somatosensory cortex (S1)	93cb76aa-a84b-4a92-8e6c-66a914e26d4c.h5ad	153159	LAMP5	CGE	GABAergic
2	10x 3' v3	lamp5 GABAergic cortical interneuron	primary somatosensory cortex	brain	nucleus	normal	93cb76aa-a84b-4a92-8e6c-66a914e26d4c	50-year-old human stage	31903083	733	Publication: https://doi.org/10.1126/science.adf6812 Dataset Version: https://datasets.cellxgene.cziscience.com/8b1e1941-cd79-48ba-81d1-43732803b9a5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	10.1126/science.adf6812	8b1e1941-cd79-48ba-81d1-43732803b9a5	Dissection: Primary somatosensory cortex (S1)	93cb76aa-a84b-4a92-8e6c-66a914e26d4c.h5ad	153159	LAMP5	CGE	GABAergic
3	10x 3' v3	caudal ganglionic eminence derived GABAergic cortical interneuron	primary somatosensory cortex	brain	nucleus	normal	93cb76aa-a84b-4a92-8e6c-66a914e26d4c	50-year-old human stage	31903249	733	Publication: https://doi.org/10.1126/science.adf6812 Dataset Version: https://datasets.cellxgene.cziscience.com/8b1e1941-cd79-48ba-81d1-43732803b9a5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	10.1126/science.adf6812	8b1e1941-cd79-48ba-81d1-43732803b9a5	Dissection: Primary somatosensory cortex (S1)	93cb76aa-a84b-4a92-8e6c-66a914e26d4c.h5ad	153159	CGE	CGE	GABAergic
4	10x 3' v3	sncg GABAergic cortical interneuron	primary somatosensory cortex	brain	nucleus	normal	93cb76aa-a84b-4a92-8e6c-66a914e26d4c	50-year-old human stage	31903544	733	Publication: https://doi.org/10.1126/science.adf6812 Dataset Version: https://datasets.cellxgene.cziscience.com/8b1e1941-cd79-48ba-81d1-43732803b9a5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	10.1126/science.adf6812	8b1e1941-cd79-48ba-81d1-43732803b9a5	Dissection: Primary somatosensory cortex (S1)	93cb76aa-a84b-4a92-8e6c-66a914e26d4c.h5ad	153159	SNCG	CGE	GABAergic
5	10x 3' v3	sncg GABAergic cortical interneuron	primary somatosensory cortex	brain	nucleus	normal	93cb76aa-a84b-4a92-8e6c-66a914e26d4c	50-year-old human stage	31903620	733	Publication: https://doi.org/10.1126/science.adf6812 Dataset Version: https://datasets.cellxgene.cziscience.com/8b1e1941-cd79-48ba-81d1-43732803b9a5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	10.1126/science.adf6812	8b1e1941-cd79-48ba-81d1-43732803b9a5	Dissection: Primary somatosensory cortex (S1)	93cb76aa-a84b-4a92-8e6c-66a914e26d4c.h5ad	153159	SNCG	CGE	GABAergic
6	10x 3' v3	sncg GABAergic cortical interneuron	primary somatosensory cortex	brain	nucleus	normal	93cb76aa-a84b-4a92-8e6c-66a914e26d4c	50-year-old human stage	31903797	733	Publication: https://doi.org/10.1126/science.adf6812 Dataset Version: https://datasets.cellxgene.cziscience.com/8b1e1941-cd79-48ba-81d1-43732803b9a5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	10.1126/science.adf6812	8b1e1941-cd79-48ba-81d1-43732803b9a5	Dissection: Primary somatosensory cortex (S1)	93cb76aa-a84b-4a92-8e6c-66a914e26d4c.h5ad	153159	SNCG	CGE	GABAergic
7	10x 3' v3	sncg GABAergic cortical interneuron	primary somatosensory cortex	brain	nucleus	normal	93cb76aa-a84b-4a92-8e6c-66a914e26d4c	50-year-old human stage	31903841	733	Publication: https://doi.org/10.1126/science.adf6812 Dataset Version: https://datasets.cellxgene.cziscience.com/8b1e1941-cd79-48ba-81d1-43732803b9a5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	10.1126/science.adf6812	8b1e1941-cd79-48ba-81d1-43732803b9a5	Dissection: Primary somatosensory cortex (S1)	93cb76aa-a84b-4a92-8e6c-66a914e26d4c.h5ad	153159	SNCG	CGE	GABAergic
8	10x 3' v3	vip GABAergic cortical interneuron	primary somatosensory cortex	brain	nucleus	normal	93cb76aa-a84b-4a92-8e6c-66a914e26d4c	50-year-old human stage	31904432	733	Publication: https://doi.org/10.1126/science.adf6812 Dataset Version: https://datasets.cellxgene.cziscience.com/8b1e1941-cd79-48ba-81d1-43732803b9a5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	10.1126/science.adf6812	8b1e1941-cd79-48ba-81d1-43732803b9a5	Dissection: Primary somatosensory cortex (S1)	93cb76aa-a84b-4a92-8e6c-66a914e26d4c.h5ad	153159	VIP	CGE	GABAergic
9	10x 3' v3	vip GABAergic cortical interneuron	primary somatosensory cortex	brain	nucleus	normal	93cb76aa-a84b-4a92-8e6c-66a914e26d4c	50-year-old human stage	31904464	733	Publication: https://doi.org/10.1126/science.adf6812 Dataset Version: https://datasets.cellxgene.cziscience.com/8b1e1941-cd79-48ba-81d1-43732803b9a5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	10.1126/science.adf6812	8b1e1941-cd79-48ba-81d1-43732803b9a5	Dissection: Primary somatosensory cortex (S1)	93cb76aa-a84b-4a92-8e6c-66a914e26d4c.h5ad	153159	VIP	CGE	GABAergic
