	assay	cell_type	tissue	tissue_general	suspension_type	disease	dataset_id	development_stage	soma_joinid	soma_joinidy	citation	collection_id	collection_name	collection_doi	dataset_version_id	dataset_title	dataset_h5ad_path	dataset_total_cell_count	rachel_subclass	rachel_class	rachel_family
0	10x 3' v3	lamp5 GABAergic cortical interneuron	primary visual cortex	brain	nucleus	normal	8d1dd010-5cbc-43fb-83f8-e0de8e8517da	50-year-old human stage	39606882	761	Publication: https://doi.org/10.1126/science.adf6812 Dataset Version: https://datasets.cellxgene.cziscience.com/325567b8-e698-48ab-9969-ab0b1a2bbb2f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	10.1126/science.adf6812	325567b8-e698-48ab-9969-ab0b1a2bbb2f	Dissection: Primary visual cortex(V1)	8d1dd010-5cbc-43fb-83f8-e0de8e8517da.h5ad	241077	LAMP5	CGE	GABAergic
1	10x 3' v3	lamp5 GABAergic cortical interneuron	primary visual cortex	brain	nucleus	normal	8d1dd010-5cbc-43fb-83f8-e0de8e8517da	50-year-old human stage	39607236	761	Publication: https://doi.org/10.1126/science.adf6812 Dataset Version: https://datasets.cellxgene.cziscience.com/325567b8-e698-48ab-9969-ab0b1a2bbb2f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	10.1126/science.adf6812	325567b8-e698-48ab-9969-ab0b1a2bbb2f	Dissection: Primary visual cortex(V1)	8d1dd010-5cbc-43fb-83f8-e0de8e8517da.h5ad	241077	LAMP5	CGE	GABAergic
2	10x 3' v3	caudal ganglionic eminence derived GABAergic cortical interneuron	primary visual cortex	brain	nucleus	normal	8d1dd010-5cbc-43fb-83f8-e0de8e8517da	50-year-old human stage	39607762	761	Publication: https://doi.org/10.1126/science.adf6812 Dataset Version: https://datasets.cellxgene.cziscience.com/325567b8-e698-48ab-9969-ab0b1a2bbb2f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	10.1126/science.adf6812	325567b8-e698-48ab-9969-ab0b1a2bbb2f	Dissection: Primary visual cortex(V1)	8d1dd010-5cbc-43fb-83f8-e0de8e8517da.h5ad	241077	CGE	CGE	GABAergic
3	10x 3' v3	sncg GABAergic cortical interneuron	primary visual cortex	brain	nucleus	normal	8d1dd010-5cbc-43fb-83f8-e0de8e8517da	50-year-old human stage	39607899	761	Publication: https://doi.org/10.1126/science.adf6812 Dataset Version: https://datasets.cellxgene.cziscience.com/325567b8-e698-48ab-9969-ab0b1a2bbb2f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	10.1126/science.adf6812	325567b8-e698-48ab-9969-ab0b1a2bbb2f	Dissection: Primary visual cortex(V1)	8d1dd010-5cbc-43fb-83f8-e0de8e8517da.h5ad	241077	SNCG	CGE	GABAergic
4	10x 3' v3	sncg GABAergic cortical interneuron	primary visual cortex	brain	nucleus	normal	8d1dd010-5cbc-43fb-83f8-e0de8e8517da	50-year-old human stage	39607937	761	Publication: https://doi.org/10.1126/science.adf6812 Dataset Version: https://datasets.cellxgene.cziscience.com/325567b8-e698-48ab-9969-ab0b1a2bbb2f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	10.1126/science.adf6812	325567b8-e698-48ab-9969-ab0b1a2bbb2f	Dissection: Primary visual cortex(V1)	8d1dd010-5cbc-43fb-83f8-e0de8e8517da.h5ad	241077	SNCG	CGE	GABAergic
5	10x 3' v3	vip GABAergic cortical interneuron	primary visual cortex	brain	nucleus	normal	8d1dd010-5cbc-43fb-83f8-e0de8e8517da	50-year-old human stage	39608246	761	Publication: https://doi.org/10.1126/science.adf6812 Dataset Version: https://datasets.cellxgene.cziscience.com/325567b8-e698-48ab-9969-ab0b1a2bbb2f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	10.1126/science.adf6812	325567b8-e698-48ab-9969-ab0b1a2bbb2f	Dissection: Primary visual cortex(V1)	8d1dd010-5cbc-43fb-83f8-e0de8e8517da.h5ad	241077	VIP	CGE	GABAergic
6	10x 3' v3	vip GABAergic cortical interneuron	primary visual cortex	brain	nucleus	normal	8d1dd010-5cbc-43fb-83f8-e0de8e8517da	50-year-old human stage	39608263	761	Publication: https://doi.org/10.1126/science.adf6812 Dataset Version: https://datasets.cellxgene.cziscience.com/325567b8-e698-48ab-9969-ab0b1a2bbb2f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	10.1126/science.adf6812	325567b8-e698-48ab-9969-ab0b1a2bbb2f	Dissection: Primary visual cortex(V1)	8d1dd010-5cbc-43fb-83f8-e0de8e8517da.h5ad	241077	VIP	CGE	GABAergic
7	10x 3' v3	vip GABAergic cortical interneuron	primary visual cortex	brain	nucleus	normal	8d1dd010-5cbc-43fb-83f8-e0de8e8517da	50-year-old human stage	39608771	761	Publication: https://doi.org/10.1126/science.adf6812 Dataset Version: https://datasets.cellxgene.cziscience.com/325567b8-e698-48ab-9969-ab0b1a2bbb2f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	10.1126/science.adf6812	325567b8-e698-48ab-9969-ab0b1a2bbb2f	Dissection: Primary visual cortex(V1)	8d1dd010-5cbc-43fb-83f8-e0de8e8517da.h5ad	241077	VIP	CGE	GABAergic
8	10x 3' v3	lamp5 GABAergic cortical interneuron	primary visual cortex	brain	nucleus	normal	8d1dd010-5cbc-43fb-83f8-e0de8e8517da	29-year-old human stage	39610031	761	Publication: https://doi.org/10.1126/science.adf6812 Dataset Version: https://datasets.cellxgene.cziscience.com/325567b8-e698-48ab-9969-ab0b1a2bbb2f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	10.1126/science.adf6812	325567b8-e698-48ab-9969-ab0b1a2bbb2f	Dissection: Primary visual cortex(V1)	8d1dd010-5cbc-43fb-83f8-e0de8e8517da.h5ad	241077	LAMP5	CGE	GABAergic
9	10x 3' v3	sncg GABAergic cortical interneuron	primary visual cortex	brain	nucleus	normal	8d1dd010-5cbc-43fb-83f8-e0de8e8517da	29-year-old human stage	39610651	761	Publication: https://doi.org/10.1126/science.adf6812 Dataset Version: https://datasets.cellxgene.cziscience.com/325567b8-e698-48ab-9969-ab0b1a2bbb2f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	10.1126/science.adf6812	325567b8-e698-48ab-9969-ab0b1a2bbb2f	Dissection: Primary visual cortex(V1)	8d1dd010-5cbc-43fb-83f8-e0de8e8517da.h5ad	241077	SNCG	CGE	GABAergic
