cell_type	subclass	class	family	global
D1	GABAergic	GABAergic	GABAergic	Neuron
D2	GABAergic	GABAergic	GABAergic	Neuron
Oligo	Oligodendrocyte	Oligodendrocyte	Non-neuron	Non-neuron
Endo	Endothelial	Vascular	Non-neuron	Non-neuron
OPC	OPC	OPC	Non-neuron	Non-neuron
Astro	Astrocyte	Astrocyte	Non-neuron	Non-neuron
Inhib	GABAergic	GABAergic	GABAergic	Neuron
NB	Neural stem cell	Neuroglioblast	Neuroglioblast	Neuroglioblast
Micro	Microglia	CNS macrophage	Non-neuron	Non-neuron
NFO	Oligodendrocyte	Oligodendrocyte	Non-neuron	Non-neuron
