task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	06/331125	315119	getCensusAdata	CACHED	0	2025-01-31 17:22:53.276	7m 9s	7m 5s	-	-	-	-	-
1	90/d89592	315118	runSetup	CACHED	0	2025-01-31 17:22:53.251	1m 4s	1m	-	-	-	-	-
2	cb/0eb3c2	317121	save_params_to_file	CACHED	0	2025-02-01 01:52:03.310	4s	3ms	-	-	-	-	-
43	ef/6bef82	315146	mapQuery (30)	CACHED	0	2025-01-31 17:26:07.934	1m 5s	1m	-	-	-	-	-
34	57/aa2a48	315125	mapQuery (21)	CACHED	0	2025-01-31 17:23:58.348	1m 4s	1m	-	-	-	-	-
56	60/846d57	315158	mapQuery (43)	CACHED	0	2025-01-31 17:27:32.761	1m 5s	1m	-	-	-	-	-
20	9d/683c1e	315130	mapQuery (11)	CACHED	0	2025-01-31 17:24:32.677	1m 5s	1m	-	-	-	-	-
41	47/e23d8f	315162	mapQuery (28)	CACHED	0	2025-01-31 17:28:02.826	1m 5s	1m	-	-	-	-	-
7	72/363018	315148	mapQuery (4)	CACHED	0	2025-01-31 17:26:42.675	49.9s	45s	-	-	-	-	-
37	cd/666a7c	315131	mapQuery (24)	CACHED	0	2025-01-31 17:24:32.816	1m 5s	1m	-	-	-	-	-
32	99/56c66f	315157	mapQuery (19)	CACHED	0	2025-01-31 17:27:32.686	1m 5s	1m	-	-	-	-	-
19	7e/767361	315133	mapQuery (10)	CACHED	0	2025-01-31 17:24:33.115	1m 5s	1m	-	-	-	-	-
49	b8/6b34ec	315137	mapQuery (36)	CACHED	0	2025-01-31 17:25:07.864	59.8s	55s	-	-	-	-	-
55	db/63df58	315141	mapQuery (42)	CACHED	0	2025-01-31 17:25:39.481	1m 3s	1m	-	-	-	-	-
57	2c/164351	315139	mapQuery (44)	CACHED	0	2025-01-31 17:25:39.242	1m 3s	1m	-	-	-	-	-
52	19/95f66f	315163	mapQuery (39)	CACHED	0	2025-01-31 17:28:02.907	1m 5s	1m	-	-	-	-	-
38	d3/2476a0	315142	mapQuery (25)	CACHED	0	2025-01-31 17:25:39.533	1m 3s	1m	-	-	-	-	-
44	ee/1b83ad	315140	mapQuery (31)	CACHED	0	2025-01-31 17:25:39.412	1m 3s	1m	-	-	-	-	-
28	23/c0184d	315154	mapQuery (15)	CACHED	0	2025-01-31 17:27:12.854	49.8s	45.1s	-	-	-	-	-
40	60/24d07f	315143	mapQuery (27)	CACHED	0	2025-01-31 17:26:07.670	1m 5s	60s	-	-	-	-	-
35	b4/df331a	315124	mapQuery (22)	CACHED	0	2025-01-31 17:23:58.286	1m 4s	1m	-	-	-	-	-
