task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	06/331125	315119	getCensusAdata	CACHED	0	2025-01-31 17:22:53.276	7m 9s	7m 5s	-	-	-	-	-
1	90/d89592	315118	runSetup	CACHED	0	2025-01-31 17:22:53.251	1m 4s	1m	-	-	-	-	-
2	68/bff80c	318004	save_params_to_file	CACHED	0	2025-02-01 05:24:22.921	3.9s	2ms	-	-	-	-	-
15	6a/d496a6	315221	h5adConvertRefs (7)	CACHED	0	2025-01-31 17:34:52.715	1m 5s	1m	-	-	-	-	-
17	1b/50f19e	315211	h5adConvertRefs (8)	CACHED	0	2025-01-31 17:33:47.665	1m 5s	1m	-	-	-	-	-
21	2f/0ac7a2	315227	h5adConvertRefs (10)	CACHED	0	2025-01-31 17:35:07.873	1m 5s	1m	-	-	-	-	-
11	8a/f15f06	315224	h5adConvertRefs (4)	CACHED	0	2025-01-31 17:35:07.767	1m 5s	1m	-	-	-	-	-
13	ad/92b066	315223	h5adConvertRefs (6)	CACHED	0	2025-01-31 17:35:07.688	1m 5s	1m	-	-	-	-	-
8	0b/2c0031	315212	h5adConvertRefs (2)	CACHED	0	2025-01-31 17:33:57.671	1m 5s	59.9s	-	-	-	-	-
12	c6/6d09af	315225	h5adConvertRefs (5)	CACHED	0	2025-01-31 17:35:07.802	1m 5s	1m	-	-	-	-	-
19	0c/658b54	315218	h5adConvertRefs (9)	CACHED	0	2025-01-31 17:34:32.745	1m 5s	1m	-	-	-	-	-
7	be/8806de	315210	h5adConvertRefs (1)	CACHED	0	2025-01-31 17:33:27.708	1m 5s	60s	-	-	-	-	-
10	aa/550496	315209	h5adConvertRefs (3)	CACHED	0	2025-01-31 17:33:27.678	1m 5s	1m	-	-	-	-	-
9	b4/04b995	315122	mapQuery (5)	CACHED	0	2025-01-31 17:23:58.134	34.5s	30s	-	-	-	-	-
22	da/7412bc	315149	mapQuery (9)	CACHED	0	2025-01-31 17:26:42.768	49.8s	45s	-	-	-	-	-
52	19/95f66f	315163	mapQuery (39)	CACHED	0	2025-01-31 17:28:02.907	1m 5s	1m	-	-	-	-	-
54	b4/93dc55	315126	mapQuery (41)	CACHED	0	2025-01-31 17:23:58.392	34.3s	30s	-	-	-	-	-
6	72/363018	315148	mapQuery (4)	CACHED	0	2025-01-31 17:26:42.675	49.9s	45s	-	-	-	-	-
48	2e/a533d9	315160	mapQuery (35)	CACHED	0	2025-01-31 17:27:32.889	1m 5s	1m	-	-	-	-	-
38	d3/2476a0	315142	mapQuery (25)	CACHED	0	2025-01-31 17:25:39.533	1m 3s	1m	-	-	-	-	-
