soma_joinid	citation	collection_id	collection_name	collection_doi	collection_doi_label	dataset_id	dataset_version_id	dataset_title	dataset_h5ad_path	dataset_total_cell_count
0	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/f76861bb-becb-4eb7-82fc-782dc96ccc7f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	4eb29386-de81-452f-b3c0-e00844e8c7fd	f76861bb-becb-4eb7-82fc-782dc96ccc7f	Spatial transcriptomics in mouse: Puck_191112_05	4eb29386-de81-452f-b3c0-e00844e8c7fd.h5ad	10888
1	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/7d7ec1b6-6e3f-4aaa-9442-4b22f3424396.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	78d59e4a-82eb-4a61-a1dc-da974d7ea54b	7d7ec1b6-6e3f-4aaa-9442-4b22f3424396	Spatial transcriptomics in mouse: Puck_191112_08	78d59e4a-82eb-4a61-a1dc-da974d7ea54b.h5ad	10250
2	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/de54aed8-4f73-48f6-9229-418a840e2d82.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	add5eb84-5fc9-4f01-982e-a346dd42ee82	de54aed8-4f73-48f6-9229-418a840e2d82	Spatial transcriptomics in mouse: Puck_191109_20	add5eb84-5fc9-4f01-982e-a346dd42ee82.h5ad	12906
3	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/abe4fce1-0859-4a56-ad1e-734d79f0e6c8.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	b020294c-ab82-4547-b5a7-63d8ffa575ed	abe4fce1-0859-4a56-ad1e-734d79f0e6c8	Spatial transcriptomics in mouse: Puck_191112_13	b020294c-ab82-4547-b5a7-63d8ffa575ed.h5ad	15161
4	Publication: https://doi.org/10.1038/s41591-024-03215-z Dataset Version: https://datasets.cellxgene.cziscience.com/863fc5e4-bd4a-4681-9c3d-0ee7ef54e327.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/a96133de-e951-4e2d-ace6-59db8b3bfb1d	a96133de-e951-4e2d-ace6-59db8b3bfb1d	HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment	10.1038/s41591-024-03215-z	Klughammer et al. (2024) Nat Med	d7476ae2-e320-4703-8304-da5c42627e71	863fc5e4-bd4a-4681-9c3d-0ee7ef54e327	HTAPP-330-SMP-1082 scRNA-seq	d7476ae2-e320-4703-8304-da5c42627e71.h5ad	565
5	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/d5e8239f-a6a3-475a-b60d-d6991ad9a108.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	530c9bff-c552-45b9-be77-0de605e6858b	d5e8239f-a6a3-475a-b60d-d6991ad9a108	Spatial transcriptomics in mouse: Puck_191109_14	530c9bff-c552-45b9-be77-0de605e6858b.h5ad	12351
6	Publication: https://doi.org/10.1002/hep4.1854 Dataset Version: https://datasets.cellxgene.cziscience.com/17616a35-1b3d-4754-9553-8ddb71267d63.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/44531dd9-1388-4416-a117-af0a99de2294	44531dd9-1388-4416-a117-af0a99de2294	Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity	10.1002/hep4.1854	Andrews et al. (2022) Hepatology Communications	0895c838-e550-48a3-a777-dbcd35d30272	17616a35-1b3d-4754-9553-8ddb71267d63	Healthy human liver: B cells	0895c838-e550-48a3-a777-dbcd35d30272.h5ad	146
7	Publication: https://doi.org/10.1038/s41586-024-07944-6 Dataset Version: https://datasets.cellxgene.cziscience.com/463451bb-78a0-447f-9555-b05d11472d09.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/fc19ae6c-d7c1-4dce-b703-62c5d52061b4	fc19ae6c-d7c1-4dce-b703-62c5d52061b4	A spatial human thymus cell atlas mapped to a continuous tissue axis	10.1038/s41586-024-07944-6	Yayon et al. (2024) Nature	fbd69faa-b0c5-45ba-89c9-da938a7f5a14	463451bb-78a0-447f-9555-b05d11472d09	thymus scRNA-seq atlas - myeloid p2 subset	fbd69faa-b0c5-45ba-89c9-da938a7f5a14.h5ad	843
8	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/3d859447-b8be-4ba7-9a62-698b5f0744ac.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	fb83600a-7823-426e-b06b-1fcd666a3cd8	3d859447-b8be-4ba7-9a62-698b5f0744ac	Spatial transcriptomics in mouse: Puck_191109_18	fb83600a-7823-426e-b06b-1fcd666a3cd8.h5ad	19156
9	Publication: https://doi.org/10.1126/sciimmunol.abe6291 Dataset Version: https://datasets.cellxgene.cziscience.com/3fa969b4-25e8-4e0b-b2ec-86cd9ddd2ccb.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/3a2af25b-2338-4266-aad3-aa8d07473f50	3a2af25b-2338-4266-aad3-aa8d07473f50	Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics	10.1126/sciimmunol.abe6291	King et al. (2021) Sci. Immunol.	00ff600e-6e2e-4d76-846f-0eec4f0ae417	3fa969b4-25e8-4e0b-b2ec-86cd9ddd2ccb	Human tonsil nonlymphoid cells scRNA	00ff600e-6e2e-4d76-846f-0eec4f0ae417.h5ad	363
10	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/120b612b-a9ac-4c70-a07e-05c5f054544f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	70fa6bd9-cc35-4779-9a05-fa8918c0ff8b	120b612b-a9ac-4c70-a07e-05c5f054544f	Spatial transcriptomics in mouse: Puck_191109_19	70fa6bd9-cc35-4779-9a05-fa8918c0ff8b.h5ad	22659
11	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/80bcbbcc-7424-4c97-a796-34c528cb9041.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	1c224f30-a9c4-48c6-951d-8d86c0a2886e	80bcbbcc-7424-4c97-a796-34c528cb9041	Spatial transcriptomics in mouse: Puck_191223_13	1c224f30-a9c4-48c6-951d-8d86c0a2886e.h5ad	16787
12	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/87e44ad8-b2da-4478-8e80-56bd3b4058e6.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	3483835a-fdd2-4589-8de3-530e2a13ad14	87e44ad8-b2da-4478-8e80-56bd3b4058e6	Spatial transcriptomics in mouse: Puck_191204_18	3483835a-fdd2-4589-8de3-530e2a13ad14.h5ad	27814
13	Publication: https://doi.org/10.1038/s41588-023-01435-6 Dataset Version: https://datasets.cellxgene.cziscience.com/98fc8857-18a3-492f-b440-0628d323c07c.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d74b6979-efba-47cd-990a-9d80ccf29055	d74b6979-efba-47cd-990a-9d80ccf29055	Spatial transcriptomic maps of whole mouse embryos reveal principles of neural tube patterning	10.1038/s41588-023-01435-6	Sampath Kumar et al. (2023) Nat Genet	c233842b-9430-41b8-8ec6-4342428e43f3	98fc8857-18a3-492f-b440-0628d323c07c	mouse_trunkTbx6WT_KO	c233842b-9430-41b8-8ec6-4342428e43f3.h5ad	499
14	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/8369a5ce-8199-4517-8a43-df21bb543413.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	ce19be17-f066-452f-922e-b1f232ce8af5	8369a5ce-8199-4517-8a43-df21bb543413	Spatial transcriptomics in mouse: Puck_191109_10	ce19be17-f066-452f-922e-b1f232ce8af5.h5ad	15592
15	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/eabd8ee3-be20-4ab0-8b34-50563b5ec879.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	c5ac9bb9-9597-4c0e-a985-1c3947288785	eabd8ee3-be20-4ab0-8b34-50563b5ec879	Spatial transcriptomics in mouse: Puck_191112_07	c5ac9bb9-9597-4c0e-a985-1c3947288785.h5ad	21181
16	Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/5ea87310-c584-4c7d-b2ba-44f31c2e7ea8.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a	8e880741-bf9a-4c8e-9227-934204631d2a	High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways	10.1016/j.isci.2022.104097	Marshall et al. (2022) iScience	72ed5f5b-e685-474d-b436-3bcc8c597e8e	5ea87310-c584-4c7d-b2ba-44f31c2e7ea8	Spatial transcriptomics in mouse: Puck_191112_04	72ed5f5b-e685-474d-b436-3bcc8c597e8e.h5ad	13822
