cell_type	dataset_title	collection_name	cell_type_ontology_term_id	count
L2/3-6 intratelencephalic projecting glutamatergic neuron	Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023040	335127
L2/3-6 intratelencephalic projecting glutamatergic neuron	Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023040	317492
L2/3-6 intratelencephalic projecting glutamatergic neuron	Dissection: Primary visual cortex(V1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023040	166467
oligodendrocyte	Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:0000128	81521
L2/3-6 intratelencephalic projecting glutamatergic neuron	L23IT - neocortex: Human variation study (HVS)	HVS: Human variation study	CL:4023040	79631
L2/3-6 intratelencephalic projecting glutamatergic neuron	Dissection: Primary somatosensory cortex (S1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023040	78731
L2/3-6 intratelencephalic projecting glutamatergic neuron	Dissection: Primary auditory cortex(A1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023040	76433
pvalb GABAergic cortical interneuron	Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023018	60052
L2/3-6 intratelencephalic projecting glutamatergic neuron	Dissection: Anterior cingulate cortex (ACC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023040	58492
oligodendrocyte	Oligo - neocortex: Human variation study (HVS)	HVS: Human variation study	CL:0000128	57855
L2/3-6 intratelencephalic projecting glutamatergic neuron	Dissection: Angular gyrus (AnG)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023040	57226
oligodendrocyte	Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:0000128	56465
VIP GABAergic cortical interneuron	Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023016	53592
VIP GABAergic cortical interneuron	Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023016	50645
pvalb GABAergic cortical interneuron	Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023018	46220
oligodendrocyte	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:0000128	45918
sst GABAergic cortical interneuron	Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023017	42684
astrocyte of the cerebral cortex	Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:0002605	40973
lamp5 GABAergic cortical interneuron	Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023011	40012
L2/3 intratelencephalic projecting glutamatergic neuron	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:4030059	35993
L2/3-6 intratelencephalic projecting glutamatergic neuron	L4IT - neocortex: Human variation study (HVS)	HVS: Human variation study	CL:4023040	35171
sst GABAergic cortical interneuron	Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023017	32570
L2/3-6 intratelencephalic projecting glutamatergic neuron	L5IT - neocortex: Human variation study (HVS)	HVS: Human variation study	CL:4023040	31924
astrocyte of the cerebral cortex	Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:0002605	29894
lamp5 GABAergic cortical interneuron	Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023011	29487
sst GABAergic cortical interneuron	Sst - neocortex: Human variation study (HVS)	HVS: Human variation study	CL:4023017	28943
VIP GABAergic cortical interneuron	Vip - neocortex: Human variation study (HVS)	HVS: Human variation study	CL:4023016	28718
astrocyte	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:0000127	23359
glutamatergic neuron	Human Multiple Cortical Areas SMART-seq	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0000679	21841
microglial cell	Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:0000129	20275
pvalb GABAergic cortical interneuron	Pvalb - neocortex: Human variation study (HVS)	HVS: Human variation study	CL:4023018	19711
microglial cell	Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:0000129	17385
L2/3-6 intratelencephalic projecting glutamatergic neuron	L6IT - neocortex: Human variation study (HVS)	HVS: Human variation study	CL:4023040	16668
astrocyte of the cerebral cortex	Astro - neocortex: Human variation study (HVS)	HVS: Human variation study	CL:0002605	16319
oligodendrocyte precursor cell	Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:0002453	16016
oligodendrocyte precursor cell	Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:0002453	15931
corticothalamic-projecting glutamatergic cortical neuron	Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023013	15452
sst GABAergic cortical interneuron	Dissection: Primary visual cortex(V1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023017	14511
sst GABAergic cortical interneuron	Dissection: Primary somatosensory cortex (S1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023017	14382
corticothalamic-projecting glutamatergic cortical neuron	Dissection: Primary visual cortex(V1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023013	13707
sst GABAergic cortical interneuron	Dissection: Primary auditory cortex(A1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023017	13688
sst GABAergic cortical interneuron	Dissection: Anterior cingulate cortex (ACC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023017	13464
sncg GABAergic cortical interneuron	Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023015	13369
pvalb GABAergic cortical interneuron	Dissection: Primary visual cortex(V1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023018	12816
oligodendrocyte precursor cell	OPC - neocortex: Human variation study (HVS)	HVS: Human variation study	CL:0002453	11244
sncg GABAergic cortical interneuron	Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023015	11040
near-projecting glutamatergic cortical neuron	Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023012	10911
pvalb GABAergic cortical interneuron	Dissection: Primary somatosensory cortex (S1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023018	10724
pvalb GABAergic cortical interneuron	Dissection: Anterior cingulate cortex (ACC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023018	10447
L6b glutamatergic cortical neuron	Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023038	10414
sst GABAergic cortical interneuron	Dissection: Angular gyrus (AnG)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023017	10156
near-projecting glutamatergic cortical neuron	Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023012	10095
VIP GABAergic cortical interneuron	Dissection: Primary somatosensory cortex (S1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023016	10017
VIP GABAergic cortical interneuron	Dissection: Primary auditory cortex(A1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023016	10016
L2/3-6 intratelencephalic projecting glutamatergic neuron	Dissection: Dorsolateral prefrontal cortex (DFC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023040	9775
oligodendrocyte precursor cell	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:0002453	9302
pvalb GABAergic cortical interneuron	Dissection: Primary auditory cortex(A1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023018	9050
chandelier pvalb GABAergic cortical interneuron	Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023036	8902
corticothalamic-projecting glutamatergic cortical neuron	Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023013	8731
oligodendrocyte	Dissection: Primary somatosensory cortex (S1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0000128	8426
VIP GABAergic cortical interneuron	Dissection: Anterior cingulate cortex (ACC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023016	8342
L6b glutamatergic cortical neuron	L6b - neocortex: Human variation study (HVS)	HVS: Human variation study	CL:4023038	8213
VIP GABAergic cortical interneuron	Dissection: Angular gyrus (AnG)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023016	8153
lamp5 GABAergic cortical interneuron	Lamp5 - neocortex: Human variation study (HVS)	HVS: Human variation study	CL:4023011	8093
oligodendrocyte	Dissection: Angular gyrus (AnG)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0000128	7861
L6b glutamatergic cortical neuron	Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023038	7645
microglial cell	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:0000129	7556
oligodendrocyte	Dissection: Primary visual cortex(V1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0000128	7442
corticothalamic-projecting glutamatergic cortical neuron	L6CT - neocortex: Human variation study (HVS)	HVS: Human variation study	CL:4023013	7156
sst GABAergic cortical interneuron	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:4023017	7087
endothelial cell	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:0000115	6866
lamp5 GABAergic cortical interneuron	Dissection: Primary somatosensory cortex (S1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023011	6729
pvalb GABAergic cortical interneuron	Dissection: Angular gyrus (AnG)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023018	6599
VIP GABAergic cortical interneuron	Dissection: Primary visual cortex(V1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023016	6247
near-projecting glutamatergic cortical neuron	L56NP - neocortex: Human variation study (HVS)	HVS: Human variation study	CL:4023012	6133
VIP GABAergic cortical interneuron	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:4023016	6047
lamp5 GABAergic cortical interneuron	Dissection: Anterior cingulate cortex (ACC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023011	5971
oligodendrocyte	Dissection: Primary auditory cortex(A1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0000128	5949
corticothalamic-projecting glutamatergic cortical neuron	Dissection: Anterior cingulate cortex (ACC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023013	5878
L2/3-6 intratelencephalic projecting glutamatergic neuron	L6ITCar3 - neocortex: Human variation study (HVS)	HVS: Human variation study	CL:4023040	5399
chandelier pvalb GABAergic cortical interneuron	Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023036	5333
lamp5 GABAergic cortical interneuron	Dissection: Primary auditory cortex(A1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023011	5310
oligodendrocyte	Dissection: Anterior cingulate cortex (ACC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0000128	5267
astrocyte of the cerebral cortex	Dissection: Anterior cingulate cortex (ACC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0002605	5004
pvalb GABAergic cortical interneuron	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:4023018	4949
corticothalamic-projecting glutamatergic cortical neuron	Dissection: Primary somatosensory cortex (S1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023013	4924
caudal ganglionic eminence derived interneuron	Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023064	4806
L2/3-6 intratelencephalic projecting glutamatergic neuron	Human Multiple Cortical Areas SMART-seq	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023040	4778
astrocyte of the cerebral cortex	Dissection: Primary visual cortex(V1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:0002605	4703
lamp5 GABAergic cortical interneuron	Lamp5Lhx6 - neocortex: Human variation study (HVS)	HVS: Human variation study	CL:4023011	4683
L6b glutamatergic cortical neuron	Dissection: Primary somatosensory cortex (S1)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023038	4390
caudal ganglionic eminence derived interneuron	Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD)	SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	CL:4023064	4216
L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	Single-nucleus transcriptome data from the dlPFC	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	CL:4023050	4206
near-projecting glutamatergic cortical neuron	Dissection: Anterior cingulate cortex (ACC)	Transcriptomic cytoarchitecture reveals principles of human neocortex organization	CL:4023012	4141
sncg GABAergic cortical interneuron	Sncg - neocortex: Human variation study (HVS)	HVS: Human variation study	CL:4023015	4112
