author_cell_type	cell_type	dataset_title	collection_name	cell_type_ontology_term_id	count
L4/5 IT CTX	L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023048	275960
L6 CT CTX	L6 corticothalamic-projecting glutamatergic cortical neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023042	148752
L2/3 IT CTX	L2/3-6 intratelencephalic projecting glutamatergic neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023040	127961
L5 IT	glutamatergic neuron	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000679	105637
L6 IT CTX	L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023050	78297
L2/3 IT	glutamatergic neuron	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000679	66893
L6 CT	glutamatergic neuron	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000679	62674
DG	hippocampal neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0002608	58948
L5 IT CTX	L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023048	58190
L2/3 IT PPP	L2/3-6 intratelencephalic projecting glutamatergic neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023040	46476
Sst	sst GABAergic cortical interneuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023017	45467
Vip	VIP GABAergic cortical interneuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023016	43684
Lamp5	lamp5 GABAergic cortical interneuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023011	42144
L5/6 NP CTX	L5/6 near-projecting glutamatergic neuron of the primary motor cortex	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023043	31703
Pvalb	pvalb GABAergic cortical interneuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023018	30461
Car3	corticothalamic-projecting glutamatergic cortical neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023013	22457
L6 IT	glutamatergic neuron	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000679	22034
Oligo	oligodendrocyte	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000128	21549
L6b/CT ENT	L6b glutamatergic cortical neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023038	20269
Astro	astrocyte	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000127	18905
L5 PT CTX	L5 extratelencephalic projecting glutamatergic cortical neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023041	17260
Vip	GABAergic neuron	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000617	15961
CA1-ProS	pyramidal neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000598	15897
Sst	GABAergic neuron	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000617	15733
L6b CTX	L6b glutamatergic cortical neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023038	15050
Pvalb	GABAergic neuron	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000617	14706
Sncg	sncg GABAergic cortical interneuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023015	13877
L3 IT ENT	L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023047	13362
microglial cell	microglial cell	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000129	13268
Lamp5	GABAergic neuron	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000617	12656
L5/6 NP	glutamatergic neuron	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000679	12475
Olig-2	oligodendrocyte	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000128	9763
L4/5 IT CTX	L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023048	9648
Oligo	oligodendrocyte	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000128	8987
Macrophage	macrophage	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000235	8408
ExN-L6-2	neuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000540	7186
L5 ET	glutamatergic neuron	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000679	6643
L2/3 IT ENTl	L2/3-6 intratelencephalic projecting glutamatergic neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023040	6433
L6b	glutamatergic neuron	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000679	5801
CT SUB	cortical interneuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0008031	5769
L5/6 IT TPE-ENT	L5 extratelencephalic projecting glutamatergic cortical neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023041	5749
Vip	VIP GABAergic cortical interneuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023016	5735
L2/3 IT CTX	L2/3-6 intratelencephalic projecting glutamatergic neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023040	5482
Astro-1	astrocyte	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000127	5456
L6 CT CTX	L6 corticothalamic-projecting glutamatergic cortical neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023042	5343
ExN-L2/3-1	neuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000540	5179
Sst	sst GABAergic cortical interneuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023017	5101
OPC	oligodendrocyte precursor cell	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0002453	5097
L4 RSP-ACA	pyramidal neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000598	4593
MSN-D1-1	medium spiny neuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:1001474	4571
L2 IT ENTl	L2/3-6 intratelencephalic projecting glutamatergic neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023040	4568
Olig-1	oligodendrocyte	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000128	4533
Lamp5	lamp5 GABAergic cortical interneuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023011	4430
L6 IT CTX	L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023050	4316
MSN-D2	medium spiny neuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:1001474	4196
SUB-ProS	glutamatergic neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000679	4187
ExN-L6-1	neuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000540	4015
Olig-3	oligodendrocyte	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000128	3958
Astro	astrocyte	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0000127	3899
Pvalb	pvalb GABAergic cortical interneuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023018	3581
Endo	endothelial cell	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000115	3483
L5 IT CTX	L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023048	3311
OPC	oligodendrocyte precursor cell	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0002453	3291
L2/3 IT RHP	L2/3-6 intratelencephalic projecting glutamatergic neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023040	3096
ExN-L2/3-2	neuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000540	3003
ExN-L5-2	neuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000540	2903
NP PPP	L5/6 near-projecting glutamatergic neuron of the primary motor cortex	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023043	2612
Sncg	GABAergic neuron	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000617	2594
ExN-L5-1	neuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000540	2580
DG	hippocampal neuron	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:0002608	2474
VLMC	leptomeningeal cell	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	CL:0000708	2404
ExN-Olf	neuron	BrainAgingSpatialAtlas_snRNAseq	Molecular and spatial signatures of mouse brain aging at single-cell resolution	CL:0000540	2269
endothelial cell	endothelial cell	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000115	2232
L2 IT ENTm	L2/3-6 intratelencephalic projecting glutamatergic neuron	Single-cell RNA-seq for all cortical & hippocampal regions (10x)	A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation	CL:4023040	2225
oligodendrocyte	oligodendrocyte	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2	Tabula Muris Senis	CL:0000128	2094
