label	Dissection: Angular gyrus (AnG)	Dissection: Anterior cingulate cortex (ACC)	Dissection: Dorsolateral prefrontal cortex (DFC)	Dissection: Primary auditory cortex(A1)	Dissection: Primary somatosensory cortex (S1)	Dissection: Primary visual cortex(V1)	Human Multiple Cortical Areas SMART-seq	Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD)	Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD)	aggregated
Astrocyte	100.0	100.0	10.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
Chandelier	100.0	100.0	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0
L2/3-6 IT	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
LAMP5	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
Microglia	100.0	100.0	8.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
OPC	100.0	100.0	3.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
Oligodendrocyte	100.0	100.0	13.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
PAX6	100.0	100.0	66.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
PVALB	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
SNCG	100.0	100.0	50.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0
SST	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
VIP	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
Vascular	186.0	200.0	6.0	180.0	200.0	192.0	113.0	200.0	200.0	232.0
deep layer non-IT	400.0	400.0	400.0	400.0	400.0	400.0	400.0	400.0	400.0	400.0
