query	reference	label	f1_score	weighted_f1	key	cutoff	query_region	ref_region	disease	sex	dev_stage
rosmap	anterior_cingulate_cortex	VLMC	nan	0.8508539325842697	subclass	0.0	prefrontal cortex	anterior cingulate cortex			
rosmap	anterior_cingulate_cortex	Oligodendrocyte	1.0	0.8508539325842697	subclass	0.0	prefrontal cortex	anterior cingulate cortex			
rosmap	anterior_cingulate_cortex	OPC	1.0	0.8508539325842697	subclass	0.0	prefrontal cortex	anterior cingulate cortex			
rosmap	anterior_cingulate_cortex	Microglia	1.0	0.8508539325842697	subclass	0.0	prefrontal cortex	anterior cingulate cortex			
rosmap	anterior_cingulate_cortex	Astrocyte	1.0	0.8508539325842697	subclass	0.0	prefrontal cortex	anterior cingulate cortex			
rosmap	anterior_cingulate_cortex	Non-neuron	nan	0.8508539325842697	subclass	0.0	prefrontal cortex	anterior cingulate cortex			
rosmap	anterior_cingulate_cortex	GABAergic	0.8	0.8508539325842697	subclass	0.0	prefrontal cortex	anterior cingulate cortex			
rosmap	anterior_cingulate_cortex	Glutamatergic	0.7865168539325843	0.8508539325842697	subclass	0.0	prefrontal cortex	anterior cingulate cortex			
rosmap	anterior_cingulate_cortex	Pericyte	0.0	0.8508539325842697	subclass	0.0	prefrontal cortex	anterior cingulate cortex			
rosmap	anterior_cingulate_cortex	Oligodendrocyte lineage	1.0	0.8608539325842696	class	0.0	prefrontal cortex	anterior cingulate cortex			
rosmap	anterior_cingulate_cortex	Microglia	1.0	0.8608539325842696	class	0.0	prefrontal cortex	anterior cingulate cortex			
rosmap	anterior_cingulate_cortex	Astrocyte	1.0	0.8608539325842696	class	0.0	prefrontal cortex	anterior cingulate cortex			
rosmap	anterior_cingulate_cortex	Non-neuron	nan	0.8608539325842696	class	0.0	prefrontal cortex	anterior cingulate cortex			
rosmap	anterior_cingulate_cortex	GABAergic	0.8	0.8608539325842696	class	0.0	prefrontal cortex	anterior cingulate cortex			
rosmap	anterior_cingulate_cortex	Glutamatergic	0.7865168539325843	0.8608539325842696	class	0.0	prefrontal cortex	anterior cingulate cortex			
rosmap	anterior_cingulate_cortex	Vascular	1.0	0.8608539325842696	class	0.0	prefrontal cortex	anterior cingulate cortex			
rosmap	anterior_cingulate_cortex	Non-neuron	0.8395061728395061	0.8062860313497018	family	0.0	prefrontal cortex	anterior cingulate cortex			
rosmap	anterior_cingulate_cortex	GABAergic	0.8	0.8062860313497018	family	0.0	prefrontal cortex	anterior cingulate cortex			
rosmap	anterior_cingulate_cortex	Glutamatergic	0.7865168539325843	0.8062860313497018	family	0.0	prefrontal cortex	anterior cingulate cortex			
