ref	query	key	label	auc	optimal threshold
Dissection_Primary_auditory_cortexA1	velmeshev_ACC	rachel_subclass	LAMP5	1.0	0.42887289313983
Dissection_Primary_auditory_cortexA1	velmeshev_ACC	rachel_subclass	VIP	0.9953917050691243	0.0879642422322155
Dissection_Primary_auditory_cortexA1	velmeshev_ACC	rachel_subclass	Astrocyte	1.0	0.715101377073153
Dissection_Primary_auditory_cortexA1	velmeshev_ACC	rachel_subclass	Endothelial	0.9973958333333334	0.200977525126918
Dissection_Primary_auditory_cortexA1	velmeshev_ACC	rachel_subclass	Microglia	1.0	0.737849793613349
Dissection_Primary_auditory_cortexA1	velmeshev_ACC	rachel_subclass	Oligodendrocyte	1.0	0.342841764400597
Dissection_Primary_auditory_cortexA1	velmeshev_ACC	rachel_subclass	OPC	1.0	0.594978457240743
Dissection_Primary_auditory_cortexA1	velmeshev_ACC	rachel_subclass	L2/3-6 IT	0.9504	0.030729646787454
Dissection_Primary_auditory_cortexA1	velmeshev_ACC	rachel_subclass	PVALB	1.0	0.420935109148304
Dissection_Primary_auditory_cortexA1	velmeshev_ACC	rachel_subclass	SST	0.9947916666666667	0.128022221639608
